C_a,policy,n_seeds,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,cumulative_reward_mean,cumulative_reward_std,cumulative_regret_mean,cumulative_regret_std
20.0,LM_LinUCB,5,79.2,3.033150177620621,85316.0,1.581138830082464,19.0,1.5811388300841893,28.8,3.03315017762062,0.8067043517011548,0.009896046006418503,0.7333333333333333,0.02808472386685761,0.7679783217634879,0.014903770870154221,0.7649265616439244,0.015186480234983719,-4922.2339999999995,337.2799047971878,3881.174,337.27990479718744
20.0,LM_LinTS,5,70.8,12.173742234826559,85324.0,4.123105625616006,11.0,4.123105625617661,37.2,12.17374223482656,0.8682345991478485,0.027913767682644034,0.6555555555555556,0.11271983550765334,0.7416229713147303,0.07079917975857479,0.7414195724804428,0.045462259635314965,-7388.551999999999,3096.8105633490077,6347.492,3096.810563349008
20.0,LM_BootstrappedUCB,5,72.6,2.3021728866442683,85330.0,2.1213203435596424,5.0,2.1213203435596424,35.4,2.3021728866442674,0.9361539450441889,0.02517861320175927,0.6722222222222223,0.02131641561707658,0.7822508106233989,0.016496928339208617,0.6642437393744217,0.01895990594256317,-6936.688,817.1803579198419,5895.628,817.1803579198423
20.0,LM_BootstrappedTS,5,72.4,3.209361307176243,85328.8,1.3038404810415063,6.2,1.3038404810405297,35.6,3.209361307176242,0.9208568261007285,0.018029427221245516,0.6703703703703703,0.029716308399779994,0.7757682878847493,0.02548140008355595,0.6490248943258023,0.02190995790950079,-6720.3,1515.5988452918534,5679.24,1515.5988452918532
20.0,LogisticRegression,1,41.0,,76895.0,,8440.0,,67.0,,0.004834335573635185,,0.37962962962962965,,0.009547095121667251,,0.7470716926962336,,-169952.1,,168911.04,
20.0,RandomForest,5,37.6,0.547722557505166,85153.4,9.607288899578903,181.6,9.607288899580361,70.4,0.5477225575051667,0.1717653093869233,0.006891951138264309,0.3481481481481482,0.005071505162084863,0.2299597721734843,0.006274269435471919,0.8222525861489837,0.0030049525142272376,-6165.85,216.45013455759278,5124.790000000001,216.45013455759292
20.0,XGBoost,1,35.0,,85298.0,,37.0,,73.0,,0.4861111111111111,,0.32407407407407407,,0.3888888888888889,,0.7990362537074601,,-4308.18,,3267.1200000000003,
50.0,CS_EpsilonGreedy,5,60.8,11.344602240713423,81053.8,65.81185303575691,4281.2,65.81185303575644,47.2,11.344602240713423,0.01399020062718249,0.0025440789746283368,0.562962962962963,0.1050426133399391,0.0273017928475082,0.004967556894306555,0.756962237203366,0.002107136376522858,-224122.444,3698.3301429807543,221876.544,3698.3301429807543
50.0,CS_LinUCB,5,80.0,0.0,85324.0,0.0,11.0,0.0,28.0,0.0,0.8791208791208792,0.0,0.7407407407407407,0.0,0.8040201005025127,0.0,0.7108871945562312,5.0267000227283265e-05,-8604.680000000002,0.0,6358.7800000000025,0.0
50.0,CS_LinTS,5,78.8,4.324349662087931,85326.0,2.73861278752417,9.0,2.738612787525831,29.2,4.324349662087931,0.8990134553696405,0.024124547265892637,0.7296296296296296,0.0400402746489623,0.8044578353585046,0.016134438879579986,0.752955166900539,0.0014035297095165399,-8330.138,1068.6091809075947,6084.238,1068.609180907595
