C_a,policy,seed,TP,TN,FP,FN,precision,recall,f1,auprc,cumulative_reward,cumulative_regret
10.0,CS_BootstrappedTS,43,80,85326,9,28,0.898876404494382,0.7407407407407407,0.8121827411167513,0.7562834533921804,-4121.76,3531.05
10.0,CS_BootstrappedTS,44,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7583735333699129,-3469.7000000000003,2878.9900000000002
10.0,CS_BootstrappedTS,45,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7539305466114318,-3599.7000000000003,3008.9900000000002
10.0,CS_BootstrappedTS,46,81,85326,9,27,0.9,0.75,0.8181818181818182,0.7584938384855358,-3765.29,3174.58
10.0,LM_EpsilonGreedy,42,68,81092,4243,40,0.01577360241243331,0.6296296296296297,0.030776193708983934,0.5437671699724378,-51524.670000000006,50933.96000000001
10.0,LM_EpsilonGreedy,43,75,80954,4381,33,0.016831238779174147,0.6944444444444444,0.03286590709903593,0.49076724263037547,-50190.92,49600.21
10.0,LM_EpsilonGreedy,44,68,80990,4345,40,0.015409018808067075,0.6296296296296297,0.0300818403008184,0.5375801065232355,-49585.7,48994.99
10.0,LM_EpsilonGreedy,45,78,81173,4162,30,0.01839622641509434,0.7222222222222222,0.035878564857405704,0.5643510623398821,-46453.02,45862.31
10.0,LM_EpsilonGreedy,46,59,81113,4222,49,0.013781826676010278,0.5462962962962963,0.02688539530644794,0.5303163864054591,-49630.51,49039.8
10.0,LM_LinUCB,42,81,85317,18,27,0.8181818181818182,0.75,0.7826086956521738,0.7732316573031277,-3647.48,3056.77
10.0,LM_LinUCB,43,75,85318,17,33,0.8152173913043478,0.6944444444444444,0.7499999999999999,0.7398554740056542,-4334.7699999999995,3744.0599999999995
10.0,LM_LinUCB,44,81,85314,21,27,0.7941176470588235,0.75,0.7714285714285715,0.7735736999357431,-3677.48,3086.77
10.0,LM_LinUCB,45,82,85315,20,26,0.803921568627451,0.7592592592592593,0.780952380952381,0.7766427431917476,-3676.7200000000003,3086.01
10.0,LM_LinUCB,46,77,85316,19,31,0.8020833333333334,0.7129629629629629,0.7549019607843137,0.7613292337833492,-4364.72,3774.01
10.0,LM_LinTS,42,75,85327,8,33,0.9036144578313253,0.6944444444444444,0.7853403141361257,0.741183434143485,-5075.69,4484.98
10.0,LM_LinTS,43,61,85327,8,47,0.8840579710144928,0.5648148148148148,0.6892655367231638,0.6809056943193742,-10057.12,9466.410000000002
10.0,LM_LinTS,44,82,85319,16,26,0.8367346938775511,0.7592592592592593,0.796116504854369,0.7807195796861393,-3796.0900000000006,3205.3800000000006
10.0,LM_LinTS,45,81,85320,15,27,0.84375,0.75,0.7941176470588235,0.7897659871048368,-3814.8400000000006,3224.1300000000006
